id	uid	ts
270	592	2017-02-02 10:28:54
271	463	2017-02-02 10:56:46
272	466	2017-02-02 11:59:25
273	458	2017-02-02 12:18:09
274	573	2017-02-02 12:21:26
275	592	2017-02-02 12:36:44
276	458	2017-02-02 13:45:46
277	470	2017-02-02 13:58:47
278	466	2017-02-02 14:59:31
279	482	2017-02-02 15:09:54
280	393	2017-02-03 01:14:53
281	667	2017-02-03 11:34:31
282	466	2017-02-03 12:28:22
283	668	2017-02-03 13:59:48
284	668	2017-02-03 14:12:25
285	466	2017-02-03 16:31:39
286	466	2017-02-03 16:34:31
287	668	2017-02-03 17:05:57
288	592	2017-02-04 10:53:24
289	592	2017-02-04 11:00:08
290	668	2017-02-04 12:22:18
291	667	2017-02-04 12:25:21
292	458	2017-02-04 12:40:24
293	592	2017-02-04 13:08:58
294	393	2017-02-04 14:56:59
295	664	2017-02-04 15:17:27
296	458	2017-02-04 17:52:31
297	664	2017-02-04 18:46:49
298	466	2017-02-05 22:10:59
